approve,disapprove,spread,date,candidate
52.5,42.9,9.6,2021-07-07,President Biden
51.4,44.1,7.3,2021-07-06,President Biden
51.4,44.1,7.3,2021-07-05,President Biden
51.4,44.1,7.3,2021-07-04,President Biden
51.7,44.5,7.2,2021-07-02,President Biden
52.7,43.0,9.7,2021-07-01,President Biden
53.1,42.6,10.5,2021-06-28,President Biden
53.0,43.1,9.9,2021-06-27,President Biden
53.0,43.1,9.9,2021-06-25,President Biden
53.0,43.3,9.7,2021-06-24,President Biden
52.5,43.3,9.2,2021-06-23,President Biden
52.4,43.4,9.0,2021-06-21,President Biden
52.3,43.7,8.6,2021-06-18,President Biden
53.8,41.1,12.7,2021-06-11,President Biden
52.7,41.4,11.3,2021-06-08,President Biden
53.0,41.4,11.6,2021-06-07,President Biden
53.0,41.4,11.6,2021-06-05,President Biden
53.0,41.4,11.6,2021-06-04,President Biden
53.3,42.4,10.9,2021-06-03,President Biden
53.9,41.9,12.0,2021-06-01,President Biden
54.0,41.7,12.3,2021-05-31,President Biden
53.5,42.3,11.2,2021-05-22,President Biden
53.5,42.3,11.2,2021-05-21,President Biden
53.3,42.7,10.6,2021-05-20,President Biden
53.6,42.6,11.0,2021-05-19,President Biden
54.2,41.8,12.4,2021-05-15,President Biden
54.3,41.7,12.6,2021-05-14,President Biden
54.0,41.8,12.2,2021-05-13,President Biden
53.9,41.8,12.1,2021-05-11,President Biden
54.0,41.7,12.3,2021-05-11,President Biden
54.1,41.6,12.5,2021-05-07,President Biden
54.0,41.6,12.4,2021-05-06,President Biden
53.8,42.2,11.6,2021-05-04,President Biden
53.1,42.1,11.0,2021-04-30,President Biden
53.1,42.0,11.1,2021-04-29,President Biden
53.1,42.0,11.1,2021-04-29,President Biden
53.1,42.1,11.0,2021-04-28,President Biden
53.1,41.8,11.3,2021-04-27,President Biden
53.1,41.5,11.6,2021-04-26,President Biden
53.1,41.5,11.6,2021-04-25,President Biden
52.8,41.4,11.4,2021-04-21,President Biden
52.7,41.4,11.3,2021-04-17,President Biden
55.7,40.5,15.2,2021-04-08,President Biden
54.8,41.2,13.6,2021-04-06,President Biden
53.8,42.2,11.6,2021-04-04,President Biden
53.7,42.2,11.5,2021-04-01,President Biden
53.3,43.0,10.3,2021-03-27,President Biden
53.1,43.1,10.0,2021-03-26,President Biden
53.9,41.4,12.5,2021-03-23,President Biden
53.6,41.7,11.9,2021-03-18,President Biden
52.8,42.0,10.8,2021-03-17,President Biden
52.8,42.0,10.8,2021-03-14,President Biden
52.8,42.0,10.8,2021-03-13,President Biden
53.0,40.3,12.7,2021-03-12,President Biden
53.7,39.9,13.8,2021-03-11,President Biden
54.6,39.9,14.7,2021-03-10,President Biden
54.6,39.9,14.7,2021-03-09,President Biden
54.4,40.0,14.4,2021-03-08,President Biden
55.3,39.9,15.4,2021-03-06,President Biden
55.4,39.8,15.6,2021-03-03,President Biden
54.4,38.9,15.5,2021-03-02,President Biden
54.0,40.2,13.8,2021-02-26,President Biden
54.0,40.2,13.8,2021-02-26,President Biden
54.0,39.5,14.5,2021-02-24,President Biden
54.6,39.5,15.1,2021-02-23,President Biden
54.3,39.4,14.9,2021-02-20,President Biden
54.4,39.3,15.1,2021-02-19,President Biden
55.5,39.3,16.2,2021-02-17,President Biden
54.4,36.8,17.6,2021-02-14,President Biden
54.4,36.8,17.6,2021-02-14,President Biden
54.3,36.9,17.4,2021-02-11,President Biden
54.1,36.5,17.6,2021-02-10,President Biden
53.9,36.6,17.3,2021-02-08,President Biden
53.8,36.7,17.1,2021-02-06,President Biden
54.6,36.3,18.3,2021-02-05,President Biden
54.3,36.0,18.3,2021-02-04,President Biden
54.2,36.1,18.1,2021-02-03,President Biden
54.9,35.7,19.2,2021-02-01,President Biden
55.8,35.5,20.3,2021-01-30,President Biden
55.7,36.0,19.7,2021-01-29,President Biden
54.8,36.8,18.0,2021-01-27,President Biden
